STNAME,CTYNAME,POPESTIMATE2023
Illinois,McHenry County,312800
Illinois,McLean County,170441
Illinois,Macon County,100591
Illinois,Macoupin County,44018
Illinois,Madison County,262752
Illinois,Marion County,36673
Illinois,Marshall County,11683
Illinois,Mason County,12523
Illinois,Massac County,13661
Illinois,Menard County,11954
Illinois,Mercer County,15487
Illinois,Monroe County,34957
Illinois,Montgomery County,27663
Illinois,Morgan County,32140
Illinois,Moultrie County,14342
Illinois,Ogle County,51265
Illinois,Peoria County,177513
Illinois,Perry County,20503
Illinois,Piatt County,16714
Illinois,Pike County,14342
Illinois,Pope County,3707
Illinois,Pulaski County,4911
Illinois,Putnam County,5561
Illinois,Randolph County,29815
Illinois,Richland County,15488
Illinois,Rock Island County,141236
Illinois,St. Clair County,251018
Illinois,Saline County,22873
Illinois,Sangamon County,193491
Illinois,Schuyler County,6733
Illinois,Scott County,4710
Illinois,Shelby County,20568
Illinois,Stark County,5218
Illinois,Stephenson County,43105
Illinois,Tazewell County,129541
Illinois,Union County,16667
Illinois,Vermilion County,71652
Illinois,Wabash County,10942
Illinois,Warren County,16185
Illinois,Washington County,13536
Illinois,Wayne County,15761
Illinois,White County,13401
Illinois,Whiteside County,54498
Illinois,Will County,700728
Illinois,Williamson County,66706
Illinois,Winnebago County,280922
Illinois,Woodford County,38285
Indiana,Adams County,36288
Indiana,Allen County,394545
Indiana,Bartholomew County,84003
Indiana,Benton County,8729
Indiana,Blackford County,11893
Indiana,Boone County,76120
Indiana,Brown County,15653
Indiana,Carroll County,20525
Indiana,Cass County,37666
Indiana,Clark County,125467
Indiana,Clay County,26460
Indiana,Clinton County,32730
Indiana,Crawford County,10438
Indiana,Daviess County,33656
Indiana,Dearborn County,51215
Indiana,Decatur County,26399
Indiana,DeKalb County,44198
Indiana,Delaware County,112321
Indiana,Dubois County,43546
Indiana,Elkhart County,206409
Indiana,Fayette County,23362
Indiana,Floyd County,80809
Indiana,Fountain County,16731
Indiana,Franklin County,23096
Indiana,Fulton County,20358
Indiana,Gibson County,32904
Indiana,Grant County,66200
Indiana,Greene County,31196
Indiana,Hamilton County,371645
Indiana,Hancock County,86166
Indiana,Harrison County,40006
Indiana,Hendricks County,186387
Indiana,Henry County,48929
Indiana,Howard County,83831
Indiana,Huntington County,36781
Indiana,Jackson County,46460
Indiana,Jasper County,33535
Indiana,Jay County,20032
Indiana,Jefferson County,33056
Indiana,Jennings County,27622
Indiana,Johnson County,167819
Indiana,Knox County,36070
Indiana,Kosciusko County,80364
Indiana,LaGrange County,40907
Indiana,Lake County,500598
Indiana,LaPorte County,111706
Indiana,Lawrence County,45084
Indiana,Madison County,132504
Indiana,Marion County,968460
Indiana,Marshall County,46352
Indiana,Martin County,9897
Indiana,Miami County,35402
Indiana,Monroe County,139342
Indiana,Montgomery County,38573
Indiana,Morgan County,73227
Indiana,Newton County,13960
Indiana,Noble County,47430
Indiana,Ohio County,6004
Indiana,Orange County,19638
Indiana,Owen County,21532
Indiana,Parke County,16484
Indiana,Perry County,19209
Indiana,Pike County,12106
Indiana,Porter County,175335
Indiana,Posey County,25040
Indiana,Pulaski County,12385
Indiana,Putnam County,37567
Indiana,Randolph County,24216
Indiana,Ripley County,29227
Indiana,Rush County,16847
Indiana,St. Joseph County,272848
Indiana,Scott County,24657
Indiana,Shelby County,45231
Indiana,Spencer County,19910
Indiana,Starke County,23206
Indiana,Steuben County,34917
Indiana,Sullivan County,20757
Indiana,Switzerland County,10019
Indiana,Tippecanoe County,188792
Indiana,Tipton County,15256
Indiana,Union County,6973
Indiana,Vanderburgh County,179810
Indiana,Vermillion County,15417
Indiana,Vigo County,106153
Indiana,Wabash County,30670
Indiana,Warren County,8518
Indiana,Warrick County,65867
Indiana,Washington County,28205
Indiana,Wayne County,66127
Indiana,Wells County,28555
Indiana,White County,24917
Indiana,Whitley County,34742
Iowa,Adair County,7389
Iowa,Adams County,3544
Iowa,Allamakee County,14074
Iowa,Appanoose County,12119
Iowa,Audubon County,5534
Iowa,Benton County,25796
Iowa,Black Hawk County,130471
Iowa,Boone County,26590
Iowa,Bremer County,25307
Iowa,Buchanan County,20691
Iowa,Buena Vista County,20567
Iowa,Butler County,14172
Iowa,Calhoun County,9763
Iowa,Carroll County,20522
Iowa,Cass County,13130
Iowa,Cedar County,18302
Iowa,Cerro Gordo County,42406
Iowa,Cherokee County,11605
Iowa,Chickasaw County,11658
Iowa,Clarke County,9588
Iowa,Clay County,16511
Iowa,Clayton County,16969
Iowa,Clinton County,46158
Iowa,Crawford County,16013
Iowa,Dallas County,111092
Iowa,Davis County,9169
Iowa,Decatur County,7665
Iowa,Delaware County,17600
Iowa,Des Moines County,38253
Iowa,Dickinson County,18056
Iowa,Dubuque County,98887
Iowa,Emmet County,9229
Iowa,Fayette County,19210
Iowa,Floyd County,15326
Iowa,Franklin County,9875
Iowa,Fremont County,6458
Iowa,Greene County,8584
Iowa,Grundy County,12384
Iowa,Guthrie County,10722
Iowa,Hamilton County,14729
Iowa,Hancock County,10615
Iowa,Hardin County,16463
Iowa,Harrison County,14670
Iowa,Henry County,19547
Iowa,Howard County,9376
Iowa,Humboldt County,9500
Iowa,Ida County,6833
Iowa,Iowa County,16381
Iowa,Jackson County,19342
Iowa,Jasper County,37919
Iowa,Jefferson County,15440
Iowa,Johnson County,157528
Iowa,Jones County,20900
Iowa,Keokuk County,9914
Iowa,Kossuth County,14396
Iowa,Lee County,32565
Iowa,Linn County,228972
Iowa,Louisa County,10513
Iowa,Lucas County,8747
Iowa,Lyon County,12324
Iowa,Madison County,16971
