STNAME,CTYNAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
Florida,Escambia County,322568,323459,323860,326928
Florida,Flagler County,116028,120974,126758,131439
Florida,Franklin County,12468,12183,12492,12594
Florida,Gadsden County,43411,43599,43393,43833
Florida,Gilchrist County,17882,18316,19002,19587
Florida,Glades County,12078,12266,12463,12786
Florida,Gulf County,14259,14462,15299,15693
Florida,Hamilton County,13729,13072,13194,13471
Florida,Hardee County,25339,25322,25651,25760
Florida,Hendry County,39723,40215,41391,43333
Florida,Hernando County,195624,200693,206935,212807
Florida,Highlands County,101349,103279,105649,107614
Florida,Hillsborough County,1466255,1484607,1513473,1535564
Florida,Holmes County,19578,19309,19653,19944
Florida,Indian River County,160446,163869,167267,169795
Florida,Jackson County,47096,47119,48255,48622
Florida,Jefferson County,14399,14494,15069,15450
Florida,Lafayette County,8218,7952,7777,8078
Florida,Lake County,386216,396352,410090,424462
Florida,Lee County,765547,790888,822391,834573
Florida,Leon County,293955,296007,297282,296913
Florida,Levy County,43059,44156,45253,46545
Florida,Liberty County,7804,7290,7613,7706
Florida,Madison County,17869,18099,18230,18519
Florida,Manatee County,401619,413716,429169,441095
Florida,Marion County,377472,385135,396437,409959
Florida,Martin County,158671,160197,161987,163315
Florida,Miami-Dade County,2695685,2669748,2673056,2686867
Florida,Monroe County,82847,82220,81618,80614
Florida,Nassau County,91031,94399,97826,101501
Florida,Okaloosa County,212085,213641,216464,218464
Florida,Okeechobee County,39652,40031,40373,41427
Florida,Orange County,1431679,1427761,1451761,1471416
Florida,Osceola County,391141,403990,422543,437784
Florida,Palm Beach County,1494282,1503435,1519867,1533801
Florida,Pasco County,566156,585191,609141,632996
Florida,Pinellas County,959793,959583,961792,961596
Florida,Polk County,730158,755598,788382,818330
Florida,Putnam County,73372,74095,74736,75955
Florida,St. Johns County,277099,293251,307072,320110
Florida,St. Lucie County,331441,344246,358886,373586
Florida,Santa Rosa County,189011,193750,198199,203162
Florida,Sarasota County,436237,448636,462552,469013
Florida,Seminole County,471455,470857,478623,484271
Florida,Sumter County,130290,134870,144767,151565
Florida,Suwannee County,43524,44125,45405,46130
Florida,Taylor County,21743,20807,21313,21582
Florida,Union County,15425,15850,15514,15532
Florida,Volusia County,555776,566368,579665,590357
Florida,Wakulla County,33893,34270,35169,36449
Florida,Walton County,75941,80021,83404,86354
Florida,Washington County,25320,24867,25405,25602
Georgia,Appling County,18376,18423,18437,18457
Georgia,Atkinson County,8308,8348,8160,8293
Georgia,Bacon County,11112,11068,11173,11124
Georgia,Baker County,2852,2824,2792,2743
Georgia,Baldwin County,43790,43695,43633,43396
Georgia,Banks County,18081,18538,19342,19789
Georgia,Barrow County,83981,86727,89245,92792
Georgia,Bartow County,109314,110936,112815,115041
Georgia,Ben Hill County,17168,17128,17057,17128
Georgia,Berrien County,18144,18117,18215,18570
Georgia,Bibb County,157035,155980,156126,156512
Georgia,Bleckley County,12523,12270,12279,12465
Georgia,Brantley County,18044,18119,18210,18401
Georgia,Brooks County,16272,16276,16284,16245
Georgia,Bryan County,45043,46974,48218,49739
Georgia,Bulloch County,79922,80671,83038,84327
Georgia,Burke County,24635,24362,24434,24438
Georgia,Butts County,25549,26164,26745,26887
Georgia,Calhoun County,5574,5541,5474,5457
Georgia,Camden County,54931,55786,56971,58118
Georgia,Candler County,11022,10947,10962,11059
Georgia,Carroll County,119498,121595,124530,127098
Georgia,Catoosa County,68006,68436,68836,68910
Georgia,Charlton County,12534,12820,12788,12934
Georgia,Chatham County,295089,295690,301025,303655
Georgia,Chattahoochee County,9475,9044,8746,8661
Georgia,Chattooga County,24925,24844,24962,25222
Georgia,Cherokee County,268156,274732,281194,286602
Georgia,Clarke County,128551,129206,129726,129933
Georgia,Clay County,2828,2867,2853,2853
Georgia,Clayton County,299439,299210,298399,298300
Georgia,Clinch County,6720,6702,6679,6746
Georgia,Cobb County,766378,766662,771840,776743
Georgia,Coffee County,43060,43046,43247,43317
Georgia,Colquitt County,45891,45763,45830,46167
Georgia,Columbia County,156865,159662,162471,165162
Georgia,Cook County,17236,17262,17409,17714
Georgia,Coweta County,146747,149973,152879,155892
Georgia,Crawford County,12103,12139,12169,12277
Georgia,Crisp County,20053,20000,19729,19631
Georgia,Dade County,16239,16221,16090,16165
Georgia,Dawson County,27059,28498,30189,31732
Georgia,Decatur County,29326,29091,29019,29087
Georgia,DeKalb County,764489,759113,761779,762992
Georgia,Dodge County,19949,19734,19873,19776
Georgia,Dooly County,11156,10869,10585,10981
Georgia,Dougherty County,85155,82235,82895,82645
Georgia,Douglas County,144648,145748,147453,149160
Georgia,Early County,10794,10635,10560,10563
Georgia,Echols County,3721,3698,3686,3709
Georgia,Effingham County,65169,66764,69034,71541
Georgia,Elbert County,19668,19571,19873,20013
Georgia,Emanuel County,22893,22899,22946,23119
Georgia,Evans County,10792,10697,10659,10754
Georgia,Fannin County,25436,25797,25733,25955
Georgia,Fayette County,119491,120715,121981,123351
Georgia,Floyd County,98583,98487,99437,100113
Georgia,Forsyth County,252901,260783,267312,272887
Georgia,Franklin County,23471,23510,24146,24782
Georgia,Fulton County,1069394,1062451,1073698,1079105
Georgia,Gilmer County,31427,32106,32403,32860
Georgia,Glascock County,2899,2901,2928,2954
Georgia,Glynn County,84482,84786,85145,86172
Georgia,Gordon County,57722,58239,58855,59757
Georgia,Grady County,26224,25850,25994,26066
Georgia,Greene County,19028,19544,20111,20722
Georgia,Gwinnett County,958359,965338,976173,983526
Georgia,Habersham County,46142,46748,47465,48757
Georgia,Hall County,203473,207080,212621,217267
Georgia,Hancock County,8711,8677,8417,8676
Georgia,Haralson County,30036,30595,31355,32038
Georgia,Harris County,34898,35589,36257,36654
Georgia,Hart County,25878,26319,26886,27556
Georgia,Heard County,11444,11532,11716,12034
Georgia,Henry County,241852,245085,248472,254613
Georgia,Houston County,164356,167228,169775,171974
Georgia,Irwin County,9647,9369,9114,9120
Georgia,Jackson County,76731,80374,84009,88615
Georgia,Jasper County,14662,15263,15979,16455
Georgia,Jeff Davis County,14800,14860,14891,14906
Georgia,Jefferson County,15676,15476,15294,15183
Georgia,Jenkins County,8663,8764,8655,8627
Georgia,Johnson County,9183,8999,9211,9282
Georgia,Jones County,28402,28406,28512,28969
Georgia,Lamar County,18549,18697,19473,20401
Georgia,Lanier County,9929,10051,10177,10452
Georgia,Laurens County,49535,49524,49710,49941
Georgia,Lee County,33222,33209,33678,33872
Georgia,Liberty County,65317,66800,67919,69210
Georgia,Lincoln County,7702,7749,7859,7879
Georgia,Long County,16270,17108,18395,19594
Georgia,Lowndes County,118416,118916,119499,120712
Georgia,Lumpkin County,33641,32843,34706,35258
Georgia,McDuffie County,21607,21619,21690,21799
Georgia,McIntosh County,10985,11054,11183,11501
Georgia,Macon County,12021,11852,11777,11817
Georgia,Madison County,30276,30887,31450,32191
Georgia,Marion County,7530,7434,7436,7440
Georgia,Meriwether County,20617,20725,20890,20931
Georgia,Miller County,5992,5853,5774,5747
Georgia,Mitchell County,21671,21318,21192,21114
Georgia,Monroe County,28057,28753,29469,30625
Georgia,Montgomery County,8576,8646,8643,8761
Georgia,Morgan County,20201,20650,21024,21460
Georgia,Murray County,40012,39975,40410,41035
Georgia,Muscogee County,207006,205060,202432,201877
Georgia,Newton County,112890,115341,117752,120135
Georgia,Oconee County,42016,43034,43624,44182
Georgia,Oglethorpe County,14869,15187,15531,15754
Georgia,Paulding County,169580,173989,178753,183164
Georgia,Peach County,28036,28245,28486,28805
Georgia,Pickens County,33337,34021,34825,35969
Georgia,Pierce County,19747,19975,20190,20425
Georgia,Pike County,18946,19540,19955,20461
Georgia,Polk County,42924,43316,43669,44223
Georgia,Pulaski County,9870,9570,9963,10095
Georgia,Putnam County,22170,22614,22933,23129
Georgia,Quitman County,2227,2242,2259,2280
Georgia,Rabun County,16912,17120,17267,17442
Georgia,Randolph County,6368,6263,6126,6078
Georgia,Richmond County,206524,205274,206344,205414
Georgia,Rockdale County,93611,93888,94945,95987
Georgia,Schley County,4536,4486,4497,4526
Georgia,Screven County,14077,14062,13970,14174
Georgia,Seminole County,9133,9162,9144,9092
Georgia,Spalding County,67471,67765,69008,69946
Georgia,Stephens County,26818,26765,26746,27228
Georgia,Stewart County,5303,4915,4604,4674
Georgia,Sumter County,29520,28981,28864,28890
Georgia,Talbot County,5726,5755,5757,5718
Georgia,Taliaferro County,1559,1569,1608,1609
Georgia,Tattnall County,24321,24092,23988,24296
Georgia,Taylor County,7818,7769,7762,7758
Georgia,Telfair County,12465,12317,12378,10920
Georgia,Terrell County,9140,8924,8792,8718
Georgia,Thomas County,45775,45818,45551,45649
Georgia,Tift County,41387,41082,41335,41554
Georgia,Toombs County,27078,26847,26813,27040
Georgia,Towns County,12547,12880,12961,13035
Georgia,Treutlen County,6397,6365,6359,6341
Georgia,Troup County,69333,69518,70247,70742
Georgia,Turner County,8986,8919,8836,8909
Georgia,Twiggs County,8013,7881,7676,7691
Georgia,Union County,24802,25552,26390,27124
Georgia,Upson County,27745,27689,28093,28263
Georgia,Walker County,67738,68417,68965,69489
Georgia,Walton County,97158,99814,103064,106702
Georgia,Ware County,36229,35545,35597,36243
Georgia,Warren County,5207,5208,5157,5106
Georgia,Washington County,19952,19758,19765,19820
Georgia,Wayne County,30142,30220,30737,31373
Georgia,Webster County,2351,2362,2337,2337
Georgia,Wheeler County,7449,7737,7310,7081
Georgia,White County,28108,28389,28804,29026
Georgia,Whitfield County,102784,102712,103095,103687
Georgia,Wilcox County,8787,8737,8751,8779
Georgia,Wilkes County,9552,9489,9565,9518
Georgia,Wilkinson County,8833,8786,8677,8725
Georgia,Worth County,20732,20565,20431,20273
Hawaii,Hawaii County,200744,203875,206348,207615
Hawaii,Honolulu County,1012399,1004163,994828,989408
Hawaii,Kalawao County,80,81,81,81
Hawaii,Kauai County,73190,73829,73783,73851
Hawaii,Maui County,164768,164797,164359,164183
Idaho,Ada County,498278,513025,519004,524673
Idaho,Adams County,4428,4623,4791,4903
Idaho,Bannock County,87276,88515,89625,90400
Idaho,Bear Lake County,6367,6567,6730,6766
Idaho,Benewah County,9576,9895,10291,10369
Idaho,Bingham County,48097,48929,49973,50395
Idaho,Blaine County,24348,24782,24901,25041
Idaho,Boise County,7664,8133,8360,8517
Idaho,Bonner County,47403,49633,51407,52547
Idaho,Bonneville County,124737,128064,129543,131366
Idaho,Boundary County,12139,12620,13272,13557
Idaho,Butte County,2584,2666,2698,2758
Idaho,Camas County,1084,1137,1169,1232
Idaho,Canyon County,233013,243710,250892,257674
Idaho,Caribou County,7013,7109,7200,7219
Idaho,Cassia County,24760,25244,25644,25696
Idaho,Clark County,792,793,810,801
Idaho,Clearwater County,8750,8925,9035,9214
Idaho,Custer County,4271,4446,4518,4523
Idaho,Elmore County,28669,28978,29391,29724
Idaho,Franklin County,14282,14670,15170,15494
Idaho,Fremont County,13419,13591,14017,14196
Idaho,Gem County,19272,19802,20454,21071
Idaho,Gooding County,15649,15793,15879,16061
Idaho,Idaho County,16594,17059,17637,17890
Idaho,Jefferson County,31080,32201,33336,34198
Idaho,Jerome County,24270,24738,25244,25479
Idaho,Kootenai County,172785,180058,183290,185010
Idaho,Latah County,39638,40400,40924,41301
Idaho,Lemhi County,7962,8160,8284,8441
Idaho,Lewis County,3527,3690,3725,3739
Idaho,Lincoln County,5134,5285,5385,5450
Idaho,Madison County,52928,54092,54958,54547
Idaho,Minidoka County,21668,21944,22208,22480
Idaho,Nez Perce County,42145,42500,42909,42987
Idaho,Oneida County,4566,4605,4740,4953
Idaho,Owyhee County,11996,12356,12645,12722
Idaho,Payette County,25590,26386,26929,27279
Idaho,Power County,7879,7975,8136,8253
