County,State,Administered_Dose_Count,Death Per 100k,Avg Temp (F),Max Temp (F),Min Temp (F),Population Estimate,Administered Dose Per 100k
Bollinger County,Missouri,4664.0,3404.779969650986,58.0,69.2,46.7,10544.0,44233.68740515933
Bon Homme County,South Dakota,4840.0,3510.2618542108985,49.3,60.8,37.9,7065.0,68506.72328379334
Bond County,Illinois,10026.0,2905.7750759878422,57.1,67.8,46.3,16450.0,60948.328267477205
Bonner County,Idaho,23567.0,2846.9750889679717,45.6,55.2,36.0,52547.0,44849.3729423183
Bonneville County,Idaho,74025.0,3497.0997061644566,41.9,53.2,30.7,131366.0,56350.19715908226
Boone County,Arkansas,17758.0,4487.4124059174665,59.3,71.0,47.6,38530.0,46088.762003633536
Boone County,Illinois,36534.0,2266.832073982181,50.6,60.4,40.7,53202.0,68670.35073869403
Boone County,Indiana,55279.0,2467.157120336311,53.3,63.7,42.9,76120.0,72620.86179716238
Boone County,Iowa,18650.0,3147.7999247837533,50.8,61.9,39.7,26590.0,70139.15005641218
Boone County,Kentucky,99125.0,2153.7979728960254,56.4,66.8,46.0,140496.0,70553.61006719052
Boone County,Missouri,139062.0,4557.618110132322,57.2,68.1,46.3,189463.0,73397.97216343033
Boone County,West Virginia,11716.0,3965.7853810264382,56.4,67.4,45.4,20576.0,56940.124416796265
Borden County,Texas,226.0,3146.853146853148,65.7,78.5,52.8,572.0,39510.48951048951
Bosque County,Texas,9647.0,3895.556959359865,69.0,80.2,57.8,18996.0,50784.37565803326
Bossier Parish,Louisiana,77861.0,3101.043953927347,67.4,78.4,56.4,129795.0,59987.67286875457
Botetourt County,Virginia,19612.0,2845.4212454212457,56.2,67.1,45.3,34125.0,57471.06227106227
Bottineau County,North Dakota,3857.0,2677.587021578201,40.6,51.5,29.7,6349.0,60749.724366041904
Boulder County,Colorado,297234.0,2765.6495252898285,44.0,57.0,30.9,326831.0,90944.24947449905
Boundary County,Idaho,4957.0,3120.1593272847977,43.5,52.1,34.9,13557.0,36564.13660839419
Bourbon County,Kansas,6152.0,3373.126041088284,58.3,69.7,46.8,14408.0,42698.50083287063
Bourbon County,Kentucky,13702.0,3243.2700903943573,57.0,68.4,45.5,20134.0,68054.0379457634
Bowie County,Texas,46046.0,6883.200453717539,66.3,77.2,55.3,91687.0,50220.860100123246
Bowman County,North Dakota,1450.0,2999.651203348448,44.6,57.2,32.0,2867.0,50575.514475061034
Box Elder County,Utah,33853.0,2148.8737157807413,47.7,59.0,36.4,62684.0,54005.80690447323
Boyd County,Kentucky,27863.0,10310.291473257224,57.1,68.6,45.6,47826.0,58259.105925647134
Boyd County,Nebraska,709.0,4579.710144927536,49.6,61.8,37.4,1725.0,41101.44927536232
Boyle County,Kentucky,20319.0,7157.609397186007,58.0,68.8,47.1,30988.0,65570.54343616884
Bracken County,Kentucky,4480.0,2088.7728459530026,56.0,67.4,44.7,8426.0,53168.76335153098
Bradford County,Florida,15413.0,2484.0261325292554,70.9,82.3,59.5,27858.0,55327.01557900782
Bradford County,Pennsylvania,33496.0,6369.042633386381,49.4,59.3,39.5,59695.0,56111.90216936092
Bradley County,Arkansas,7527.0,3543.1512272367377,65.6,76.9,54.4,10104.0,74495.24940617576
Bradley County,Tennessee,52637.0,4080.5169431523855,61.0,72.1,50.0,111579.0,47174.647559128505
Branch County,Michigan,21157.0,3268.826716797523,51.0,60.9,41.0,45215.0,46791.993807364815
Brantley County,Georgia,6052.0,2483.5606760502146,68.8,80.5,57.0,18401.0,32889.51687408293
Braxton County,West Virginia,7073.0,4127.610590363427,55.2,66.9,43.5,12162.0,58156.55319848709
Brazoria County,Texas,255827.0,2154.97144919762,72.7,81.5,63.9,398938.0,64127.00720412696
Brazos County,Texas,140463.0,2569.236993416509,71.0,82.1,59.9,244703.0,57401.42131481837
Breathitt County,Kentucky,7680.0,4601.250675519184,58.0,69.6,46.4,12953.0,59291.28387246197
Breckinridge County,Kentucky,12264.0,3129.1422079151675,57.4,68.8,46.0,21124.0,58057.18613898883
Bremer County,Iowa,16416.0,3066.345279962066,49.4,60.3,38.4,25307.0,64867.42798435216
Brevard County,Florida,475290.0,4618.007730065732,74.7,82.5,66.9,643979.0,73805.20172241642
Brewster County,Texas,6261.0,2533.3753810575004,68.1,82.7,53.5,9513.0,65815.20025228635
