Year,County,State,Administered_Dose_Count,Population,Avg Temp,Max Temp,Min Temp,Death Per 100k
2022.0,Allegany County,New York,22869.0,46726.0,46.5,57.5,35.5,3243.231656341772
2023.0,Allegany County,New York,23001.0,46651.0,48.5,58.4,38.4,3243.231656341772
2021.0,Alleghany County,North Carolina,8509.0,11079.0,52.9,63.6,42.3,3949.920648915535
2022.0,Alleghany County,North Carolina,9670.0,11193.0,52.5,63.2,41.9,3949.920648915535
2023.0,Alleghany County,North Carolina,9738.0,11342.0,53.9,64.6,43.1,3949.920648915535
2021.0,Alleghany County,Virginia,7006.0,14988.0,53.8,64.5,43.2,6413.155190133607
2022.0,Alleghany County,Virginia,7180.0,14715.0,52.6,63.5,41.6,6413.155190133607
2023.0,Alleghany County,Virginia,7191.0,14595.0,54.2,65.0,43.3,6413.155190133607
2021.0,Allegheny County,Pennsylvania,1066525.0,1245220.0,53.3,63.2,43.4,5245.728981691262
2022.0,Allegheny County,Pennsylvania,1048570.0,1232605.0,51.8,62.1,41.4,5245.728981691262
2023.0,Allegheny County,Pennsylvania,1058965.0,1224825.0,53.8,64.2,43.5,5245.728981691262
2021.0,Allen County,Indiana,209561.0,389163.0,52.0,61.7,42.4,4662.079103777769
2022.0,Allen County,Indiana,229943.0,391644.0,50.4,60.7,40.2,4662.079103777769
2023.0,Allen County,Indiana,231187.0,394545.0,52.5,62.6,42.4,4662.079103777769
2021.0,Allen County,Kansas,5972.0,12498.0,57.4,67.5,47.2,3440.2191427650664
2022.0,Allen County,Kansas,6596.0,12489.0,56.6,68.3,44.9,3440.2191427650664
2023.0,Allen County,Kansas,6613.0,12412.0,58.2,69.7,46.6,3440.2191427650664
2021.0,Allen County,Kentucky,8967.0,20839.0,58.5,69.6,47.4,2404.9935744446484
2022.0,Allen County,Kentucky,9712.0,21283.0,58.0,69.7,46.2,2404.9935744446484
2023.0,Allen County,Kentucky,9754.0,21788.0,59.4,71.1,47.8,2404.9935744446484
2021.0,Allen County,Ohio,45627.0,101784.0,53.1,62.2,43.9,5907.4951903052415
2022.0,Allen County,Ohio,49565.0,101097.0,51.7,61.3,42.0,5907.4951903052415
2023.0,Allen County,Ohio,49815.0,100838.0,53.7,63.4,43.9,5907.4951903052415
2021.0,Allen Parish,Louisiana,9788.0,22588.0,67.7,77.1,58.3,3744.5730824891466
2022.0,Allen Parish,Louisiana,10834.0,22287.0,67.3,78.1,56.7,3744.5730824891466
2023.0,Allen Parish,Louisiana,11010.0,22112.0,70.1,81.1,59.1,3744.5730824891466
2021.0,Allendale County,South Carolina,5610.0,7714.0,64.7,76.5,53.1,3555.434930112634
2022.0,Allendale County,South Carolina,6222.0,7418.0,65.0,76.9,53.2,3555.434930112634
2023.0,Allendale County,South Carolina,6250.0,7369.0,65.0,76.4,53.7,3555.434930112634
2021.0,Alpena County,Michigan,15601.0,28939.0,46.9,56.8,37.0,5597.8411292554665
2022.0,Alpena County,Michigan,16244.0,28833.0,44.6,54.8,34.5,5597.8411292554665
2023.0,Alpena County,Michigan,16303.0,28904.0,46.8,56.2,37.3,5597.8411292554665
2021.0,Amador County,California,31104.0,41228.0,60.0,72.5,47.4,3592.356078543924
2022.0,Amador County,California,32210.0,41493.0,59.4,72.6,46.1,3592.356078543924
2023.0,Amador County,California,23795.0,41811.0,57.6,69.4,45.9,3592.356078543924
2021.0,Amelia County,Virginia,5113.0,13306.0,59.1,70.2,48.0,3783.382789317508
2022.0,Amelia County,Virginia,5184.0,13368.0,58.4,69.8,47.0,3783.382789317508
2023.0,Amelia County,Virginia,5170.0,13480.0,59.6,71.0,48.1,3783.382789317508
2021.0,Amherst County,Virginia,15999.0,31385.0,56.9,67.4,46.4,2528.9845840234425
2022.0,Amherst County,Virginia,16875.0,31472.0,55.9,66.5,45.4,2528.9845840234425
2023.0,Amherst County,Virginia,16907.0,31396.0,56.5,66.9,46.2,2528.9845840234425
2021.0,Amite County,Mississippi,5237.0,12622.0,66.8,77.4,56.1,3648.931040025719
2022.0,Amite County,Mississippi,5759.0,12559.0,66.4,78.4,54.4,3648.931040025719
2023.0,Amite County,Mississippi,5778.0,12442.0,69.2,80.3,58.1,3648.931040025719
2021.0,Anasco Municipio,Puerto Rico,20732.0,,,,,
2022.0,Anasco Municipio,Puerto Rico,22218.0,,,,,
2023.0,Anasco Municipio,Puerto Rico,22218.0,,,,,
2021.0,Anchorage Municipality,Alaska,201554.0,289169.0,,,,3100.2359521104604
2022.0,Anchorage Municipality,Alaska,228887.0,286983.0,,,,3100.2359521104604
2023.0,Anchorage Municipality,Alaska,230587.0,286075.0,,,,3100.2359521104604
2021.0,Anderson County,Kansas,3635.0,7807.0,56.9,66.8,47.0,3278.8976779790764
2022.0,Anderson County,Kansas,3892.0,7798.0,55.8,66.9,44.6,3278.8976779790764
2023.0,Anderson County,Kansas,3903.0,7838.0,57.6,68.7,46.5,3278.8976779790764
2021.0,Anderson County,Kentucky,14919.0,24084.0,56.4,67.0,45.8,1909.5599886238977
2022.0,Anderson County,Kentucky,14949.0,24273.0,55.8,66.7,44.9,1909.5599886238977
2023.0,Anderson County,Kentucky,15003.0,24613.0,58.3,69.9,46.7,1909.5599886238977
